iso_a3,obligation_key,obligation_label_fr,status,effective_date,source_label,source_url,notes_fr
GBR,stablecoin_issuer,Régime émetteur stablecoin,in_force,2024-10-01,FCA / BoE — stablecoins,https://www.bankofengland.co.uk/,Cadre UK pour stablecoins systémiques et émetteurs.
GBR,marketing_rules,Communication / promotion crypto,in_force,2024-10-01,FCA — financial promotions,https://www.fca.org.uk/,Approbation des promotions crypto vers UK consumers.
GBR,custody_rules,Conservation d'actifs numériques,in_force,2024-10-01,FCA custody requirements,https://www.fca.org.uk/,Règles de garde et ségrégation UK.
GBR,travel_rule,Travel rule VASP,in_force,2023-09-01,FCA — travel rule UK,https://www.fca.org.uk/,Transposition post-Brexit travel rule crypto.
GBR,retail_cbdc,CBDC détail,proposed,2026-01-01,Bank of England — digital pound,https://www.bankofengland.co.uk/,Consultations retail CBDC ; pilotes wholesale en cours.
CHE,casp_licensing,Agrément prestataire crypto (FINMA),in_force,2019-01-01,FINMA — fintech & DLT,https://www.finma.ch/,Licences banking / securities / DLT trading facility.
CHE,stablecoin_issuer,Régime émetteur stablecoin,in_force,2023-01-01,FINMA — stablecoin guidance,https://www.finma.ch/,Stablecoins soumis à banking ou securities selon structure.
CHE,marketing_rules,Communication / promotion crypto,in_force,2023-01-01,FINMA — AML & conduct,https://www.finma.ch/,Devoir d'information et LBA.
CHE,custody_rules,Conservation d'actifs numériques,in_force,2019-01-01,FINMA custody,https://www.finma.ch/,Custody dans licences bancaires / DLT.
CHE,travel_rule,Travel rule VASP,in_force,2024-01-01,FINMA — VASP travel rule,https://www.finma.ch/,Alignement standards FATF.
CHE,retail_cbdc,CBDC détail,sandbox,2024-01-01,SNB — Helvetia / wholesale,https://www.snb.ch/,Focus wholesale CBDC ; retail non annoncé.
SGP,casp_licensing,Agrément prestataire crypto (PSA),in_force,2020-01-28,MAS — Payment Services Act,https://www.mas.gov.sg/regulation/capital-markets/payment-services-act,Licences DPT service providers.
SGP,stablecoin_issuer,Régime émetteur stablecoin,in_force,2023-08-15,MAS — stablecoin framework,https://www.mas.gov.sg/,Cadre MAS pour single-currency stablecoins régulés.
SGP,marketing_rules,Communication / promotion crypto,in_force,2023-01-01,MAS — conduct,https://www.mas.gov.sg/,Protection consommateurs et publicité DPT.
SGP,custody_rules,Conservation d'actifs numériques,in_force,2020-01-28,MAS — custody under PSA,https://www.mas.gov.sg/,Safeguarding of customer assets.
SGP,travel_rule,Travel rule VASP,in_force,2023-01-01,MAS — travel rule notice,https://www.mas.gov.sg/,Transferts DPT soumis à travel rule.
SGP,retail_cbdc,CBDC détail,sandbox,2023-11-01,MAS — purpose-bound money pilots,https://www.mas.gov.sg/,Pilotes paiement tokenisé ; pas de CBDC retail général.
JPN,casp_licensing,Agrément prestataire crypto (exchange),in_force,2017-04-01,FSA — Payment Services Act crypto,https://www.fsa.go.jp/,Enregistrement exchanges crypto.
JPN,stablecoin_issuer,Régime émetteur stablecoin,in_force,2023-06-01,FSA — stablecoin law,https://www.fsa.go.jp/,Stablecoins limités aux institutions agréées (banques / transfert).
JPN,marketing_rules,Communication / promotion crypto,in_force,2023-01-01,FSA — investor protection,https://www.fsa.go.jp/,Règles sur ICO et crypto-asset handling.
JPN,custody_rules,Conservation d'actifs numériques,in_force,2023-01-01,FSA — custody separation,https://www.fsa.go.jp/,Séparation des avoirs clients.
JPN,travel_rule,Travel rule VASP,in_force,2022-04-01,FSA — travel rule Japan,https://www.fsa.go.jp/,Obligation d'information expéditeur/bénéficiaire.
JPN,retail_cbdc,CBDC détail,sandbox,2023-04-01,BoJ — CBDC experiments,https://www.boj.or.jp/,Pilotes techniques ; pas de lancement public.
